1,Jorge,Boyd,Jorge.Y.Boyd@dodgit.com,103 S MIDLAND AVE,60436
2,Marisa,Wyant,Marisa.A.Wyant@dodgit.com,1 ARROW LN,1223
3,Victor,Gonzales,Victor.E.Gonzales@mailinator.com,1 NORTHBROOK LN,1201
4,Willie,Gabriel,Willie.P.Gabriel@mailinator.com,101 MEADOW CREEK DR,78602
5,Jennifer,Massey,Jennifer.P.Massey@spambob.com,10-2 BO CAMPO ALEGRE,674
6,Linda,Terry,Linda.E.Terry@trashymail.com,101 COUNTY ROAD 158,77414
7,Jimmy,Lin,Jimmy.P.Lin@dodgit.com,100 OLD MILL CREEK RD,28734
8,Tiffany,Fields,Tiffany.D.Fields@trashymail.com,1 MIZZENMAST,2649
9,Josh,Vasquez,Josh.C.Vasquez@pookmail.com,1 SCORALICK LN,10595
10,Aaron,Bibbs,Aaron.K.Bibbs@dodgit.com,1 CALLE PUEBLO NUEVO,683
11,Michael,Deleon,Michael.A.Deleon@trashymail.com,10 INDUSTRIAL WAY E STE 2580 # 1,7724
12,Christian,Doi,Christian.M.Doi@mailinator.com,10047 SENECA TRL,77354
13,Don,Weems,Don.D.Weems@dodgit.com,1 HILLVIEW LN,1588
14,Lynette,Kaufman,Lynette.P.Kaufman@trashymail.com,1010 W SILVERBELL RD,48359
15,Kevin,Benavides,Kevin.J.Benavides@pookmail.com,10263 JAMESTOWN RD,23005
16,Roberto,Perkins,Roberto.J.Perkins@pookmail.com,1094 5TH AVE SE,74354
17,Christina,Prichard,Christina.A.Prichard@pookmail.com,10466 NW 313TH AVE,97133
18,Barbara,Henry,Barbara.R.Henry@trashymail.com,107 HUDSON ST APT 1B,7601
19,Paul,Anderson,Paul.W.Anderson@spambob.com,105 S ANN ST APT 1085,36604
20,Ron,Bell,Ron.T.Bell@spambob.com,114 HAYES MILL RD APT D311,8004
21,Antoinette,Reyes,Antoinette.K.Reyes@mailinator.com,108203 BEREDALM,80478
22,Joseph,Coy,Joseph.C.Coy@mailinator.com,118 DIVISION RD,2747
23,Samuel,Pilla,Samuel.S.Pilla@spambob.com,10510 OAK ST NE,33716
